thres	recall	precision	correct	recognized	all
thres:0.825015	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.826745	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.828474	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.830204	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.831934	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.833663	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.835393	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.837122	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.838852	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.840582	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.842311	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.844041	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.845770	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.847500	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.849229	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.850959	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.852689	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.854418	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.856148	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.857877	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.859607	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.861337	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.863066	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
