thres	recall	precision	correct	recognized	all
thres:4.968700	0.000504	0.800000	correct:4.000000	recognized:5.000000	all:7936.000000
thres:4.979432	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:4.990163	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:5.000895	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:5.011627	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:5.022358	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:5.033090	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:5.043821	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:5.054553	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.065284	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.076016	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.086747	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.097479	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.108210	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.118942	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.129673	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.140405	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.151136	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.161868	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.172600	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.183331	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.194063	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
